Date,AGIX,AMT,BRK-B,CAT,COST,GE,GLD,JNJ,MSFT,MU,NEE,NVDA,PLD,SPY,UNH,V,VTRS,XLP,XOM
2024-11-01,25.582040786743164,198.40481567382812,452.1400146484375,371.7109680175781,870.3023071289062,169.9896240234375,252.47000122070312,152.44532775878906,404.7486877441406,99.21829223632812,73.46807098388672,135.18875122070312,106.91114044189453,559.5452270507812,544.4360961914062,286.95391845703125,10.785934448242188,76.46739196777344,108.51213073730469
2024-11-04,25.488513946533203,199.20309448242188,442.2900085449219,368.665771484375,878.9923706054688,170.0489959716797,252.8300018310547,150.64602661132812,402.8648681640625,101.20803833007812,74.43689727783203,135.83775329589844,107.34481811523438,558.3399047851562,535.0449829101562,288.0494689941406,10.628137588500977,76.67728424072266,111.9671630859375
2024-11-05,26.039831161499023,200.83721923828125,445.05999755859375,375.3729248046875,883.0595092773438,173.51416015625,253.39999389648438,150.750732421875,405.82379150390625,104.94873809814453,74.70283508300781,139.69174194335938,107.88219451904297,565.0912475585938,543.9276733398438,289.470703125,10.776653289794922,77.1638412475586,112.29755401611328
2024-11-06,26.886491775512695,185.4539337158203,468.8999938964844,408.1839294433594,892.0670166015625,178.95936584472656,245.6999969482422,150.30331420898438,414.4243469238281,111.25621032714844,70.78009796142578,145.38284301757812,107.23168182373047,579.142578125,572.3792724609375,303.39691162109375,10.776653289794922,75.90449523925781,114.22329711914062
2024-11-07,27.437808990478516,185.82958984375,460.1300048828125,399.69476318359375,906.6297607421875,177.06837463378906,249.64999389648438,149.20846557617188,419.6024169921875,112.8281021118164,70.87508392333984,148.6477508544922,107.67478942871094,583.62060546875,580.7822875976562,301.81781005859375,12.233962059020996,76.18115997314453,114.36489868164062
2024-11-08,27.467342376708984,189.5204620361328,463.4100036621094,385.164306640625,936.2611694335938,182.96900939941406,247.9600067138672,148.00894165039062,416.7520446777344,111.32585144042969,73.10714721679688,147.399658203125,109.20209503173828,586.1486206054688,590.72021484375,303.8608093261719,12.029751777648926,77.10659790039062,114.32713317871094
2024-11-11,27.565792083740234,184.1485137939453,467.3599853515625,388.2682189941406,925.4284057617188,182.72152709960938,242.13999938964844,147.59957885742188,412.2840576171875,108.09253692626953,72.10034942626953,145.03338623046875,107.57108306884766,586.707275390625,599.7755737304688,306.8711242675781,12.150421142578125,76.83946990966797,113.72299194335938
2024-11-12,27.496877670288086,181.93212890625,466.2900085449219,384.8118591308594,924.932373046875,180.82061767578125,240.0500030517578,145.3147735595703,417.23529052734375,103.56586456298828,70.53315734863281,148.0586395263672,106.29832458496094,584.8846435546875,589.626708984375,306.396484375,12.00190544128418,76.92532348632812,113.60971069335938
2024-11-13,27.595327377319336,183.28451538085938,468.1000061035156,378.9957275390625,926.2716674804688,181.73146057128906,237.6300048828125,145.885986328125,419.3756103515625,99.40731811523438,70.51416015625,146.0417938232422,109.89974975585938,585.1688232421875,581.1852416992188,306.0306091308594,12.06688117980957,77.15431213378906,114.66698455810547
2024-11-14,27.349205017089844,182.91824340820312,467.70001220703125,379.2796936035156,916.5101928710938,176.6228485107422,237.00999450683594,144.5817413330078,421.0424499511719,98.67111206054688,71.50196838378906,146.53102111816406,108.18389129638672,581.4061279296875,568.9835205078125,304.81427001953125,11.714157104492188,76.96349334716797,114.74311065673828
